n,d,MSB,Approx(0.1),Results(0.1),u,time(s),time(us),,,,
350,900,87.4759,110.832,1.267000397,1,0.572446,572446,,1.647100516,,
350,950,89.8371,112.788,1.255472405,1,0.599789,599789,,1.632114127,,
350,1000,92.0849,113.168,1.228952847,1,0.656422,656422,,1.597638701,,
400,50,22.4258,30.1765,1.345615318,3,0.05922,59220,,1.749299913,,
400,100,30.6189,38.662,1.262684159,2,0.0933849,93384.9,,1.641489407,,
400,150,37.1034,44.2511,1.192642723,1,0.111213,111213,,1.55043554,,
400,200,42.4713,50.3327,1.185099114,1,0.145087,145087,,1.540628848,,
400,250,47.2526,64.2352,1.359400329,2,0.210357,210357,,1.767220428,,
400,300,51.5069,59.4537,1.154286125,1,0.221946,221946,,1.500571962,,
400,350,55.6008,70.3569,1.265393663,1,0.248585,248585,,1.645011762,,
400,400,59.3035,74.7996,1.26130161,1,0.28211,282110,,1.639692092,,
400,450,62.7491,74.7075,1.190574845,1,0.317036,317036,,1.547747298,,
400,500,66.0457,80.0979,1.212764798,1,0.351991,351991,,1.576594237,,
400,550,69.2045,84.1139,1.215439747,1,0.396936,396936,,1.580071672,,
400,600,71.9835,89.1634,1.238664416,1,0.420896,420896,,1.610263741,,
400,650,74.8353,92.3941,1.234632586,1,0.451711,451711,,1.605022362,,
400,700,77.624,99.4752,1.281500567,1,0.482825,482825,,1.665950737,,
400,750,80.1556,103.686,1.293559028,1,0.5428,542800,,1.681626736,,
400,800,82.8092,107.695,1.300519749,1,0.580099,580099,,1.690675674,,
400,850,85.2972,102.804,1.205244721,1,0.589292,589292,,1.566818137,,
400,900,87.5375,110.832,1.266108811,1,0.6252,625200,,1.645941454,,
400,950,89.8733,112.788,1.254966714,1,0.664684,664684,,1.631456729,,
400,1000,92.1782,113.168,1.227708938,1,0.708705,708705,,1.596021619,,
450,50,22.5785,30.1765,1.336514826,3,0.0632187,63218.7,,1.737469274,,
450,100,30.6797,36.2391,1.181207769,1,0.0824486,82448.6,,1.5355701,,
450,150,37.2151,44.2511,1.189063042,1,0.12086,120860,,1.545781954,,
450,200,42.5602,48.6215,1.142417094,1,0.156428,156428,,1.485142222,,
450,250,47.2972,54.6392,1.155231176,1,0.193341,193341,,1.501800529,,
450,300,51.7107,59.4537,1.149736902,1,0.231954,231954,,1.494657972,,
450,350,55.6285,70.3569,1.264763565,1,0.284562,284562,,1.644192635,,
450,400,59.4016,74.7996,1.259218607,1,0.304386,304386,,1.636984189,,
450,450,62.7829,74.7075,1.189933883,1,0.343309,343309,,1.546914048,,
450,500,66.0805,80.0979,1.212126119,1,0.378314,378314,,1.575763955,,
450,550,69.2558,84.1139,1.214539432,1,0.434452,434452,,1.578901262,,
450,600,72.0398,89.1634,1.237696384,1,0.454119,454119,,1.6090053,,
450,650,74.9102,92.3941,1.233398122,1,0.491725,491725,,1.603417559,,
450,700,77.6639,99.4752,1.280842193,1,0.530796,530796,,1.665094851,,
450,750,80.211,103.686,1.292665594,1,0.567825,567825,,1.680465273,,
450,800,82.8442,107.695,1.299970306,1,0.60612,606120,,1.689961397,,
450,850,85.3336,102.804,1.20473061,1,0.648526,648526,,1.566149793,,
450,900,87.581,110.832,1.265479956,1,0.676702,676702,,1.645123942,,
450,950,89.9291,112.788,1.254188021,1,0.72317,723170,,1.630444428,,
450,1000,92.2649,113.168,1.226555277,1,0.777791,777791,,1.59452186,,
500,50,22.6027,30.1765,1.335083862,3,0.0684076,68407.6,,1.73560902,,
500,100,30.7051,36.2391,1.180230646,1,0.0895157,89515.7,,1.534299839,,
500,150,37.3118,45.7278,1.22555867,2,0.146813,146813,,1.593226272,,
500,200,42.602,48.6215,1.141296183,1,0.170245,170245,,1.483685038,,
500,250,47.3964,54.6392,1.152813294,1,0.214694,214694,,1.498657282,,
500,300,51.7746,59.4537,1.148317901,1,0.250049,250049,,1.492813271,,
500,350,55.6942,70.3569,1.263271579,1,0.302291,302291,,1.642253053,,
500,400,59.4312,74.7996,1.258591447,1,0.334417,334417,,1.636168881,,
500,450,62.8622,74.7075,1.188432794,1,0.366277,366277,,1.544962633,,
500,500,66.1011,80.0979,1.211748367,1,0.413766,413766,,1.575272877,,
500,550,69.322,84.1139,1.213379591,1,0.472099,472099,,1.577393468,,
500,600,72.0765,87.0904,1.208305065,1,0.490559,490559,,1.570796584,,
500,650,74.9365,92.3941,1.232965244,1,0.545261,545261,,1.602854817,,
500,700,77.7074,99.4752,1.280125188,1,0.573892,573892,,1.664162744,,
500,750,80.2838,103.686,1.291493427,1,0.615863,615863,,1.678941455,,
500,800,82.8521,101.431,1.224241751,1,0.64829,648290,,1.591514277,,
500,850,85.3691,102.804,1.204229633,1,0.693902,693902,,1.565498523,,
500,900,87.6862,110.832,1.263961718,1,0.730074,730074,,1.643150233,,
500,950,90.0548,111.557,1.23876795,1,0.792444,792444,,1.610398335,,
500,1000,92.3063,113.54,1.23003522,1,0.813119,813119,,1.599045786,,
550,50,22.6526,29.9068,1.320236971,3,0.071468,71468,,1.716308062,,
550,100,30.7641,36.2391,1.177967176,1,0.0963831,96383.1,,1.531357329,,
550,150,37.3118,45.7278,1.22555867,2,0.155945,155945,,1.593226272,,
550,200,42.6414,48.6215,1.140241643,1,0.1823,182300,,1.482314136,,
550,250,47.4954,64.2352,1.352450974,2,0.253823,253823,,1.758186266,,
550,300,51.8338,59.4537,1.147006394,1,0.268362,268362,,1.491108312,,
550,350,55.7114,70.3569,1.262881565,1,0.309014,309014,,1.641746034,,
550,400,59.5268,74.7996,1.25657015,1,0.353012,353012,,1.633541195,,
550,450,62.881,74.7075,1.18807748,1,0.397923,397923,,1.544500724,,
550,500,66.1507,80.0979,1.210839795,1,0.44163,441630,,1.574091733,,
550,550,69.3675,89.6211,1.291975349,1,0.486593,486593,,1.679567953,,
550,600,72.1052,87.0904,1.207824124,1,0.534318,534318,,1.570171361,,
550,650,74.946,92.3941,1.232808956,1,0.576758,576758,,1.602651643,,
550,700,77.7414,99.4752,1.279565328,1,0.626904,626904,,1.663434927,,
550,750,80.2997,99.3937,1.237784201,1,0.658539,658539,,1.609119461,,
550,800,82.9523,101.431,1.222762961,1,0.70253,702530,,1.58959185,,
550,850,85.457,106.868,1.250547059,1,0.758534,758534,,1.625711176,,
550,900,87.7397,110.832,1.263191007,1,0.787011,787011,,1.642148309,,
550,950,90.0825,111.557,1.238387034,1,0.833618,833618,,1.609903144,,
550,1000,92.3496,113.54,1.229458493,1,0.867984,867984,,1.59829604,,
600,50,22.7,29.9068,1.317480176,3,0.0727039,72703.9,,1.712724229,,
600,100,30.8966,42.6381,1.380025634,2,0.115109,115109,,1.794033324,,
600,150,37.347,45.7278,1.224403567,2,0.16682,166820,,1.591724637,,
600,200,42.6962,48.6215,1.138778158,1,0.195529,195529,,1.480411606,,
600,250,47.5635,54.6392,1.148763232,1,0.242431,242431,,1.493392202,,
600,300,51.8482,59.4537,1.146687831,1,0.288311,288311,,1.49069418,,
600,350,55.7511,70.3569,1.261982275,1,0.355209,355209,,1.640576957,,
600,400,59.5838,74.7996,1.25536807,1,0.400861,400861,,1.631978491,,
600,450,62.9163,74.7075,1.187410894,1,0.445169,445169,,1.543634162,,
600,500,66.1975,80.1282,1.210441482,1,0.471997,471997,,1.573573927,,
600,550,69.3866,89.6211,1.291619708,1,0.519628,519628,,1.67910562,,
600,600,72.1299,87.0904,1.207410519,1,0.564561,564561,,1.569633675,,
600,650,74.9809,92.3941,1.232235143,1,0.606391,606391,,1.601905685,,
600,700,77.752,99.4752,1.279390884,1,0.659193,659193,,1.663208149,,
600,750,80.3459,99.8938,1.243296795,1,0.72511,725110,,1.616285834,,
600,800,82.9744,100.028,1.205528452,1,0.764763,764763,,1.567186988,,
600,850,85.4686,106.868,1.250377332,1,0.792095,792095,,1.625490531,,
600,900,87.7877,110.832,1.262500327,1,0.847181,847181,,1.641250426,,
600,950,90.0956,111.557,1.238206971,1,0.890302,890302,,1.609669063,,
600,1000,92.4174,113.54,1.228556527,1,0.933956,933956,,1.597123485,,
650,50,22.7131,29.9068,1.316720307,3,0.0754342,75434.2,,1.711736399,,
650,100,30.986,36.2391,1.169531401,1,0.108251,108251,,1.520390822,,
650,150,37.3498,45.6125,1.221224746,2,0.176482,176482,,1.587592169,,
650,200,42.7383,48.6215,1.137656388,1,0.216572,216572,,1.478953304,,
650,250,47.6439,64.2352,1.348235556,2,0.287027,287027,,1.752706223,,
650,300,51.8714,59.4537,1.146174963,1,0.309646,309646,,1.490027453,,
650,350,55.7512,70.3569,1.261980011,1,0.351299,351299,,1.640574015,,
650,400,59.5844,74.7996,1.255355429,1,0.407169,407169,,1.631962057,,
650,450,62.948,74.7075,1.186812925,1,0.4536,453600,,1.542856802,,
650,500,66.2227,84.0802,1.269658289,1,0.501437,501437,,1.650555776,,
650,550,69.3991,89.6211,1.291387064,1,0.569535,569535,,1.678803183,,
650,600,72.1646,87.0904,1.206829942,1,0.624649,624649,,1.568878924,,
650,650,75.0309,90.6726,1.20847011,1,0.656432,656432,,1.571011143,,
650,700,77.792,99.4752,1.278733032,1,0.725517,725517,,1.662352941,,
650,750,80.3748,99.8938,1.242849749,1,0.744452,744452,,1.615704674,,
650,800,83.0188,100.028,1.204883713,1,0.824677,824677,,1.566348827,,
650,850,85.4888,106.868,1.250081882,1,0.851169,851169,,1.625106447,,
650,900,87.8258,110.832,1.261952638,1,0.909779,909779,,1.640538429,,
650,950,90.1515,111.557,1.2374392,1,0.951123,951123,,1.608670959,,
650,1000,92.4809,113.54,1.227712966,1,1.01802,1.02E+06,,1.596026855,,
700,50,22.7297,30.1765,1.32762421,3,0.0820712,82071.2,,1.725911473,,
700,100,30.9881,36.2391,1.169452145,1,0.113561,113561,,1.520287788,,
700,150,37.3787,45.7278,1.223365179,2,0.189688,189688,,1.590374732,,
700,200,42.8698,48.6215,1.134166709,1,0.217545,217545,,1.474416722,,
700,250,47.6579,64.2352,1.347839498,2,0.303496,303496,,1.752191347,,
700,300,51.8907,59.4537,1.14574866,1,0.333115,333115,,1.489473258,,
700,350,55.8047,66.0202,1.183058058,1,0.393446,393446,,1.537975475,,
700,400,59.6525,75.4789,1.26530992,1,0.424109,424109,,1.644902896,,
700,450,62.9564,74.7075,1.186654574,1,0.485892,485892,,1.542650946,,
700,500,66.2279,84.0802,1.2695586,1,0.532204,532204,,1.65042618,,
700,550,69.4378,89.6211,1.290667331,1,0.603956,603956,,1.67786753,,
700,600,72.1899,87.0904,1.20640699,1,0.657222,657222,,1.568329088,,
700,650,75.0898,90.6726,1.207522193,1,0.689397,689397,,1.569778851,,
700,700,77.865,99.4752,1.277534194,1,0.749279,749279,,1.660794452,,
700,750,80.4154,99.8938,1.242222261,1,0.794525,794525,,1.614888939,,
700,800,83.0191,100.028,1.204879359,1,0.865709,865709,,1.566343167,,
700,850,85.5556,106.868,1.249105845,1,0.900573,900573,,1.623837598,,
700,900,87.8447,110.832,1.261681126,1,0.957823,957823,,1.640185464,,
700,950,90.1726,111.557,1.237149644,1,1.00788,1.01E+06,,1.608294537,,
700,1000,92.53,113.54,1.227061494,1,1.06412,1.06E+06,,1.595179942,,
750,50,22.7297,29.961,1.318143222,3,0.0874842,87484.2,,1.713586189,,
750,100,31.075,39.6346,1.275449718,2,0.135901,135901,,1.658084634,,
750,150,37.4041,45.7278,1.222534428,2,0.193429,193429,,1.589294756,,
750,200,42.9278,48.6215,1.13263433,1,0.230981,230981,,1.472424629,,
750,250,47.6812,54.6392,1.145927535,1,0.29858,298580,,1.489705796,,
