25 , 50 , 1132 , 1230 , 1.08657
25 , 102 , 622 , 2485 , 3.99518
25 , 206 , 286 , 5042 , 17.6294
25 , 119 , 680 , 2919 , 7
26 , 52 , 1377 , 1474 , 1.07044
26 , 106 , 735 , 2851 , 3.87891
26 , 214 , 417 , 5789 , 13.8825
26 , 124 , 843 , 3371 , 5.66667
27 , 54 , 1648 , 1748 , 1.06068
27 , 110 , 556 , 2703 , 4.86151
27 , 222 , 326 , 5103 , 15.6534
27 , 128 , 843 , 3184 , 6.66667
28 , 56 , 1338 , 1434 , 1.07175
28 , 114 , 717 , 2742 , 3.82427
28 , 230 , 370 , 5665 , 15.3108
28 , 133 , 808 , 3280 , 6.33333
29 , 58 , 1479 , 1577 , 1.06626
29 , 118 , 709 , 2876 , 4.05642
29 , 238 , 406 , 5944 , 14.6404
29 , 138 , 864 , 3465 , 6.33333
30 , 60 , 1538 , 1637 , 1.06437
30 , 122 , 764 , 2993 , 3.91754
30 , 246 , 262 , 5676 , 21.6641
30 , 142 , 854 , 3435 , 8.33333
31 , 62 , 1518 , 1612 , 1.06192
31 , 126 , 729 , 2774 , 3.80521
31 , 254 , 294 , 6000 , 20.4082
31 , 147 , 847 , 3462 , 8
32 , 64 , 1608 , 1706 , 1.06095
32 , 130 , 949 , 3708 , 3.90727
32 , 262 , 467 , 6700 , 14.3469
32 , 152 , 1008 , 4038 , 6
33 , 66 , 1515 , 1612 , 1.06403
33 , 134 , 883 , 3444 , 3.90034
33 , 270 , 377 , 6170 , 16.366
33 , 156 , 925 , 3742 , 6.66667
34 , 68 , 1480 , 1579 , 1.06689
34 , 138 , 902 , 3567 , 3.95455
34 , 278 , 702 , 7539 , 10.7393
34 , 161 , 1028 , 4228 , 4.66667
35 , 70 , 1532 , 1631 , 1.06462
35 , 142 , 1040 , 3882 , 3.73269
35 , 286 , 392 , 6617 , 16.8801
35 , 166 , 988 , 4043 , 6.66667
36 , 72 , 1796 , 1895 , 1.05512
36 , 146 , 1008 , 3735 , 3.70536
36 , 294 , 534 , 7842 , 14.6854
36 , 590 , 223 , 14391 , 64.5336
36 , 275 , 890 , 6965 , 20.5
37 , 74 , 1481 , 1576 , 1.06415
37 , 150 , 1107 , 4063 , 3.67028
37 , 302 , 565 , 7876 , 13.9398
37 , 606 , 237 , 14606 , 61.6287
37 , 283 , 847 , 7030 , 19.5
38 , 76 , 1629 , 1728 , 1.06077
38 , 154 , 979 , 3814 , 3.89581
38 , 310 , 663 , 8197 , 12.3635
38 , 622 , 437 , 15645 , 35.8009
38 , 290 , 927 , 7346 , 12.75
39 , 78 , 1861 , 1961 , 1.05373
39 , 158 , 1184 , 4167 , 3.51943
39 , 318 , 475 , 7799 , 16.4189
39 , 638 , 283 , 16144 , 57.0459
39 , 298 , 950 , 7517 , 19.25
40 , 80 , 1972 , 2072 , 1.05071
40 , 162 , 1174 , 4242 , 3.61329
40 , 326 , 403 , 7717 , 19.1489
40 , 654 , 208 , 16591 , 79.7644
40 , 305 , 939 , 7655 , 25.5
41 , 82 , 1883 , 1982 , 1.05258
41 , 166 , 1097 , 4100 , 3.73747
41 , 334 , 516 , 8139 , 15.7733
41 , 670 , 323 , 16489 , 51.0495
41 , 313 , 954 , 7677 , 17.5
42 , 84 , 2018 , 2115 , 1.04807
42 , 170 , 1018 , 4043 , 3.97151
42 , 342 , 614 , 8877 , 14.4577
42 , 686 , 325 , 17101 , 52.6185
42 , 320 , 993 , 8034 , 17.5
43 , 86 , 1840 , 1940 , 1.05435
43 , 174 , 934 , 3968 , 4.24839
43 , 350 , 676 , 9141 , 13.5222
43 , 702 , 345 , 18167 , 52.658
43 , 328 , 948 , 8304 , 17.5
44 , 88 , 2150 , 2250 , 1.04651
44 , 178 , 1483 , 5190 , 3.49966
44 , 358 , 580 , 8718 , 15.031
44 , 718 , 286 , 18032 , 63.049
44 , 335 , 1124 , 8547 , 20.5
45 , 90 , 2407 , 2504 , 1.0403
45 , 182 , 1241 , 4605 , 3.71072
45 , 366 , 656 , 9158 , 13.9604
45 , 734 , 274 , 17169 , 62.6606
45 , 343 , 1144 , 8359 , 19.75
46 , 92 , 2388 , 2488 , 1.04188
46 , 186 , 1257 , 4799 , 3.81782
46 , 374 , 536 , 9220 , 17.2015
46 , 750 , 347 , 18707 , 53.9107
46 , 350 , 1132 , 8803 , 18.5
47 , 94 , 2100 , 2196 , 1.04571
47 , 190 , 1167 , 4622 , 3.96058
47 , 382 , 707 , 9960 , 14.0877
47 , 766 , 378 , 19676 , 52.0529
47 , 358 , 1088 , 9113 , 17.5
48 , 96 , 2189 , 2289 , 1.04568
48 , 194 , 1035 , 4503 , 4.35072
48 , 390 , 707 , 9846 , 13.9264
48 , 782 , 377 , 20137 , 53.4138
48 , 365 , 1077 , 9193 , 17.75
49 , 98 , 2337 , 2437 , 1.04279
49 , 198 , 1406 , 5115 , 3.63798
49 , 398 , 741 , 9738 , 13.1417
49 , 798 , 400 , 20759 , 51.8975
49 , 373 , 1221 , 9512 , 17
50 , 100 , 2496 , 2595 , 1.03966
50 , 202 , 1426 , 5306 , 3.7209
50 , 406 , 642 , 10317 , 16.0701
50 , 814 , 333 , 20276 , 60.8889
50 , 380 , 1224 , 9623 , 20
