1,2,3,4,5
315,1812.06,0,99225,31255875
316,1818.81,0,99856,31554496
317,1825.57,0,100489,31855013
318,1832.33,0,101124,32157432
319,1839.1,0,101761,32461759
320,1845.86,0,102400,32768000
321,1852.63,0,103041,33076161
322,1859.41,0,103684,33386248
323,1866.18,0,104329,33698267
324,1872.96,0,104976,34012224
325,1879.74,0,105625,34328125
326,1886.53,0,106276,34645976
327,1893.32,0,106929,34965783
328,1900.11,0,107584,35287552
329,1906.9,0,108241,35611289
330,1913.7,0,108900,35937000
331,1920.5,0,109561,36264691
332,1927.3,0,110224,36594368
333,1934.11,0,110889,36926037
334,1940.92,0,111556,37259704
335,1947.73,0,112225,37595375
336,1954.55,0,112896,37933056
337,1961.37,0,113569,38272753
338,1968.19,0,114244,38614472
339,1975.01,0,114921,38958219
340,1981.84,0,115600,39304000
341,1988.67,0,116281,39651821
342,1995.51,0,116964,40001688
343,2002.34,0,117649,40353607
344,2009.18,0,118336,40707584
345,2016.02,0,119025,41063625
346,2022.87,0,119716,41421736
347,2029.72,0,120409,41781923
348,2036.57,0,121104,42144192
349,2043.42,0,121801,42508549
350,2050.28,0,122500,42875000
351,2057.14,0,123201,43243551
352,2064,0,123904,43614208
353,2070.86,0,124609,43986977
354,2077.73,0,125316,44361864
355,2084.6,0,126025,44738875
356,2091.48,0,126736,45118016
357,2098.35,0,127449,45499293
358,2105.23,0,128164,45882712
359,2112.11,0,128881,46268279
360,2119,0,129600,46656000
361,2125.88,0,130321,47045881
362,2132.78,0,131044,47437928
363,2139.67,0,131769,47832147
364,2146.56,0,132496,48228544
365,2153.46,0,133225,48627125
366,2160.36,0,133956,49027896
367,2167.27,0,134689,49430863
368,2174.17,0,135424,49836032
369,2181.08,0,136161,50243409
370,2188,0,136900,50653000
371,2194.91,0,137641,51064811
372,2201.83,0,138384,51478848
373,2208.75,0,139129,51895117
374,2215.67,0,139876,52313624
375,2222.6,0,140625,52734375
376,2229.53,0,141376,53157376
377,2236.46,0,142129,53582633
378,2243.39,0,142884,54010152
379,2250.33,0,143641,54439939
380,2257.27,0,144400,54872000
381,2264.21,0,145161,55306341
382,2271.15,0,145924,55742968
383,2278.1,0,146689,56181887
384,2285.05,0,147456,56623104
385,2292,0,148225,57066625
386,2298.95,0,148996,57512456
387,2305.91,0,149769,57960603
388,2312.87,0,150544,58411072
389,2319.83,0,151321,58863869
390,2326.8,0,152100,59319000
391,2333.76,0,152881,59776471
392,2340.73,0,153664,60236288
393,2347.71,0,154449,60698457
394,2354.68,0,155236,61162984
395,2361.66,0,156025,61629875
396,2368.64,0,156816,62099136
397,2375.62,0,157609,62570773
398,2382.61,0,158404,63044792
399,2389.6,0,159201,63521199
400,2396.59,0,160000,64000000
401,2403.58,0,160801,64481201
402,2410.57,0,161604,64964808
403,2417.57,0,162409,65450827
404,2424.57,0,163216,65939264
405,2431.57,0,164025,66430125
406,2438.58,0,164836,66923416
407,2445.59,0,165649,67419143
408,2452.6,0,166464,67917312
409,2459.61,0,167281,68417929
410,2466.62,0,168100,68921000
411,2473.64,0,168921,69426531
412,2480.66,0,169744,69934528
413,2487.68,0,170569,70444997
414,2494.71,0,171396,70957944
415,2501.74,0,172225,71473375
416,2508.77,0,173056,71991296
417,2515.8,0,173889,72511713
418,2522.83,0,174724,73034632
419,2529.87,0,175561,73560059
420,2536.91,0,176400,74088000
421,2543.95,0,177241,74618461
422,2550.99,0,178084,75151448
423,2558.04,0,178929,75686967
424,2565.09,0,179776,76225024
425,2572.14,0,180625,76765625
426,2579.19,0,181476,77308776
427,2586.25,0,182329,77854483
428,2593.3,0,183184,78402752
429,2600.37,0,184041,78953589
430,2607.43,0,184900,79507000
431,2614.49,0,185761,80062991
432,2621.56,0,186624,80621568
433,2628.63,0,187489,81182737
434,2635.7,0,188356,81746504
435,2642.78,0,189225,82312875
436,2649.85,0,190096,82881856
437,2656.93,0,190969,83453453
438,2664.01,0,191844,84027672
439,2671.1,0,192721,84604519
440,2678.18,0,193600,85184000
441,2685.27,0,194481,85766121
442,2692.36,0,195364,86350888
443,2699.45,0,196249,86938307
444,2706.55,0,197136,87528384
445,2713.64,0,198025,88121125
446,2720.74,0,198916,88716536
447,2727.84,0,199809,89314623
448,2734.95,0,200704,89915392
449,2742.05,0,201601,90518849
450,2749.16,0,202500,91125000
451,2756.27,0,203401,91733851
452,2763.38,0,204304,92345408
453,2770.5,0,205209,92959677
454,2777.62,0,206116,93576664
455,2784.74,0,207025,94196375
456,2791.86,0,207936,94818816
457,2798.98,0,208849,95443993
458,2806.11,0,209764,96071912
459,2813.23,0,210681,96702579
460,2820.36,0,211600,97336000
461,2827.5,0,212521,97972181
462,2834.63,0,213444,98611128
463,2841.77,0,214369,99252847
464,2848.91,0,215296,99897344
465,2856.05,0,216225,100544625
466,2863.19,0,217156,101194696
467,2870.34,0,218089,101847563
468,2877.48,0,219024,102503232
469,2884.63,0,219961,103161709
470,2891.78,0,220900,103823000
471,2898.94,0,221841,104487111
472,2906.09,0,222784,105154048
473,2913.25,0,223729,105823817
474,2920.41,0,224676,106496424
475,2927.57,0,225625,107171875
476,2934.74,0,226576,107850176
477,2941.91,0,227529,108531333
478,2949.07,0,228484,109215352
479,2956.24,0,229441,109902239
480,2963.42,0,230400,110592000
481,2970.59,0,231361,111284641
482,2977.77,0,232324,111980168
483,2984.95,0,233289,112678587
484,2992.13,0,234256,113379904
485,2999.31,0,235225,114084125
486,3006.5,0,236196,114791256
487,3013.68,0,237169,115501303
488,3020.87,0,238144,116214272
489,3028.07,0,239121,116930169
490,3035.26,0,240100,117649000
491,3042.45,0,241081,118370771
492,3049.65,0,242064,119095488
493,3056.85,0,243049,119823157
494,3064.05,0,244036,120553784
495,3071.26,0,245025,121287375
496,3078.46,0,246016,122023936
497,3085.67,0,247009,122763473
498,3092.88,0,248004,123505992
499,3100.09,0,249001,124251499
500,3107.3,0,250000,125000000
501,3114.52,0,251001,125751501
502,3121.74,0,252004,126506008
503,3128.96,0,253009,127263527
504,3136.18,0,254016,128024064
505,3143.4,0,255025,128787625
506,3150.63,0,256036,129554216
507,3157.86,0,257049,130323843
508,3165.08,0,258064,131096512
509,3172.32,0,259081,131872229
510,3179.55,0,260100,132651000
511,3186.78,0,261121,133432831
512,3194.02,0,262144,134217728
513,3201.26,0,263169,135005697
514,3208.5,0,264196,135796744
515,3215.75,0,265225,136590875
516,3222.99,0,266256,137388096
517,3230.24,0,267289,138188413
518,3237.49,0,268324,138991832
519,3244.74,0,269361,139798359
520,3251.99,0,270400,140608000
521,3259.25,0,271441,141420761
522,3266.5,0,272484,142236648
523,3273.76,0,273529,143055667
524,3281.02,0,274576,143877824
525,3288.28,0,275625,144703125
526,3295.55,0,276676,145531576
527,3302.81,0,277729,146363183
528,3310.08,0,278784,147197952
529,3317.35,0,279841,148035889
530,3324.62,0,280900,148877000
531,3331.9,0,281961,149721291
532,3339.17,0,283024,150568768
533,3346.45,0,284089,151419437
534,3353.73,0,285156,152273304
535,3361.01,0,286225,153130375
536,3368.3,0,287296,153990656
537,3375.58,0,288369,154854153
538,3382.87,0,289444,155720872
539,3390.16,0,290521,156590819
540,3397.45,0,291600,157464000
541,3404.74,0,292681,158340421
542,3412.03,0,293764,159220088
543,3419.33,0,294849,160103007
544,3426.63,0,295936,160989184
545,3433.93,0,297025,161878625
546,3441.23,0,298116,162771336
547,3448.53,0,299209,163667323
548,3455.84,0,300304,164566592
549,3463.15,0,301401,165469149
550,3470.46,0,302500,166375000
551,3477.77,0,303601,167284151
552,3485.08,0,304704,168196608
553,3492.39,0,305809,169112377
554,3499.71,0,306916,170031464
555,3507.03,0,308025,170953875
556,3514.35,0,309136,171879616
557,3521.67,0,310249,172808693
