n , d , MSB , Approx(0.1) , Results(0.1) , u , time(s) , time(us)
550,150,37.3118,54.9387,1.472421593,4,1.21914,1.22E+06
550,200,42.6414,60.2832,1.41372469,3,1.20274,1.20E+06
550,250,47.4954,68.9865,1.45248803,3,1.48478,1.48E+06
550,300,51.8338,69.1353,1.333787992,2,1.47194,1.47E+06
550,350,55.7114,75.561,1.356293326,1,1.23802,1.24E+06
550,400,59.5268,80.3324,1.34951652,1,1.30696,1.31E+06
550,450,62.881,85.423,1.358486665,2,2.07714,2.08E+06
550,500,66.1507,93.3072,1.410524756,2,2.31679,2.32E+06
550,550,69.3675,96.2502,1.387540275,1,1.76592,1.77E+06
550,600,72.1052,100.427,1.392784432,2,2.75683,2.76E+06
550,650,74.946,106.645,1.422957863,2,2.87917,2.88E+06
550,700,77.7414,106.833,1.37420988,1,2.25033,2.25E+06
550,750,80.2997,106.746,1.329344942,1,2.45852,2.46E+06
550,800,82.9523,116.759,1.407543854,2,3.45915,3.46E+06
550,850,85.457,114.773,1.343049721,1,2.687,2.69E+06
550,900,87.7397,119.03,1.356626476,1,2.80094,2.80E+06
550,950,90.0825,127.882,1.419609802,2,4.17545,4.18E+06
550,1000,92.3496,130.289,1.410823653,2,4.541,4.54E+06
600,50,22.7,32.1771,1.417493392,6,0.717585,717585
600,100,30.8966,42.5663,1.377701754,2,0.520291,520291
600,150,37.347,54.7428,1.465788417,4,1.15433,1.15E+06
600,200,42.6962,59.7617,1.399695992,3,1.32683,1.33E+06
600,250,47.5635,68.9865,1.450408401,3,1.56529,1.57E+06
600,300,51.8482,73.7144,1.421734988,3,1.92183,1.92E+06
600,350,55.7511,75.561,1.355327518,1,1.18135,1.18E+06
600,400,59.5838,85.6033,1.436687489,2,1.86696,1.87E+06
600,450,62.9163,85.423,1.357724469,2,2.04984,2.05E+06
600,500,66.1975,91.8996,1.388263907,2,2.33063,2.33E+06
600,550,69.3866,96.2502,1.387158327,1,1.84744,1.85E+06
600,600,72.1299,100.427,1.39230749,2,2.75861,2.76E+06
600,650,74.9809,106.645,1.422295545,2,3.12029,3.12E+06
600,700,77.752,106.833,1.374022533,1,2.26389,2.26E+06
600,750,80.3459,114.565,1.425897277,2,3.34489,3.34E+06
600,800,82.9744,117.079,1.411025569,2,3.67682,3.68E+06
600,850,85.4686,114.773,1.342867439,1,2.72211,2.72E+06
600,900,87.7877,119.03,1.355884708,1,2.97337,2.97E+06
600,950,90.0956,128.141,1.422278113,2,4.27169,4.27E+06
600,1000,92.4174,129.879,1.405352239,2,4.51562,4.52E+06
650,50,22.7131,34.9073,1.536879598,5,0.563471,563471
650,100,30.986,46.0463,1.486035629,4,0.855328,855328
650,150,37.3498,52.1374,1.395921799,4,1.16758,1.17E+06
650,200,42.7383,61.3663,1.435861979,3,1.21347,1.21E+06
650,250,47.6439,62.7516,1.317096207,2,1.18576,1.19E+06
650,300,51.8714,73.7207,1.421220557,3,1.95494,1.95E+06
650,350,55.7512,75.561,1.355325087,1,1.16702,1.17E+06
650,400,59.5844,85.6033,1.436673022,2,1.98158,1.98E+06
650,450,62.948,85.5269,1.358691301,2,2.12982,2.13E+06
650,500,66.2227,90.2994,1.363571706,1,1.6763,1.68E+06
650,550,69.3991,96.2502,1.386908476,1,1.95217,1.95E+06
650,600,72.1646,100.427,1.391638005,2,2.80715,2.81E+06
650,650,75.0309,107.348,1.430717211,2,2.93793,2.94E+06
650,700,77.792,106.833,1.373316022,1,2.43127,2.43E+06
650,750,80.3748,107.283,1.334784037,1,2.5259,2.53E+06
650,800,83.0188,116.065,1.398056826,2,3.67047,3.67E+06
650,850,85.4888,114.773,1.342550135,1,2.84842,2.85E+06
650,900,87.8258,119.03,1.355296507,1,3.03373,3.03E+06
650,950,90.1515,128.141,1.421396205,2,4.35125,4.35E+06
650,1000,92.4809,130.711,1.413383737,2,4.59596,4.60E+06
700,50,22.7297,33.6811,1.481810143,4,0.442293,442293
700,100,30.9881,42.5663,1.37363375,3,0.703059,703059
700,150,37.3787,52.1374,1.394842517,5,1.51489,1.51E+06
700,200,42.8698,60.2367,1.405108025,3,1.24168,1.24E+06
700,250,47.6579,66.8959,1.403668647,3,1.52426,1.52E+06
700,300,51.8907,73.4668,1.415798977,3,1.84262,1.84E+06
700,350,55.8047,75.561,1.354025736,2,1.79299,1.79E+06
700,400,59.6525,81.0619,1.358901974,1,1.44023,1.44E+06
700,450,62.9564,85.434,1.357034392,2,2.3189,2.32E+06
700,500,66.2279,90.2994,1.363464643,1,1.83119,1.83E+06
700,550,69.4378,96.2502,1.386135505,1,1.98875,1.99E+06
700,600,72.1899,100.427,1.391150286,2,2.94424,2.94E+06
700,650,75.0898,105.092,1.399550938,2,3.10773,3.11E+06
700,700,77.865,106.833,1.372028511,1,2.49424,2.49E+06
700,750,80.4154,114.565,1.424664927,2,3.53724,3.54E+06
700,800,83.0191,115.661,1.393185424,2,3.82503,3.83E+06
700,850,85.5556,114.773,1.341501901,1,2.82352,2.82E+06
700,900,87.8447,119.03,1.355004912,1,3.1138,3.11E+06
700,950,90.1726,128.141,1.421063605,2,4.44368,4.44E+06
700,1000,92.53,130.711,1.41263374,2,4.58479,4.58E+06
750,50,22.7297,32.5094,1.430260848,6,0.778699,778699
750,100,31.075,42.8071,1.377541432,3,0.641557,641557
750,150,37.4041,52.9995,1.416943597,4,1.16798,1.17E+06
750,200,42.9278,59.9256,1.395962523,3,1.47661,1.48E+06
750,250,47.6812,69.2771,1.452922745,3,1.60358,1.60E+06
750,300,51.9282,73.7144,1.419544679,3,1.87133,1.87E+06
750,350,55.8256,77.4361,1.387107349,2,1.66839,1.67E+06
750,400,59.6617,81.0619,1.358692427,1,1.51215,1.51E+06
750,450,62.9706,91.4306,1.451956945,3,3.14673,3.15E+06
750,500,66.2531,90.2994,1.362946036,1,1.99735,2.00E+06
750,550,69.442,96.2502,1.386051669,1,2.04676,2.05E+06
750,600,72.2698,100.427,1.389612259,2,2.97618,2.98E+06
750,650,75.1362,105.305,1.401521504,2,3.12334,3.12E+06
750,700,77.896,106.833,1.371482489,1,2.62152,2.62E+06
750,750,80.4384,111.238,1.382896726,1,2.6344,2.63E+06
750,800,83.0772,116.065,1.397074047,2,3.94925,3.95E+06
750,850,85.587,114.773,1.341009733,1,2.92154,2.92E+06
750,900,87.878,119.03,1.354491454,1,3.18602,3.19E+06
750,950,90.2099,128.141,1.420476023,2,4.37619,4.38E+06
750,1000,92.6409,129.879,1.401961769,2,4.70894,4.71E+06
800,50,22.8092,34.5305,1.513884748,5,0.539803,539803
800,100,31.0913,44.645,1.435932238,4,0.863451,863451
800,150,37.4984,51.2425,1.366524972,5,1.56471,1.56E+06
800,200,42.9936,60.2367,1.401062019,3,1.24005,1.24E+06
800,250,47.695,63.3592,1.328424363,3,1.60254,1.60E+06
800,300,51.9446,68.4562,1.317869422,4,2.39859,2.40E+06
800,350,55.8328,77.4361,1.386928472,2,1.68078,1.68E+06
800,400,59.674,86.6665,1.452332674,2,1.95006,1.95E+06
800,450,63.0061,85.434,1.355963946,2,2.19888,2.20E+06
800,500,66.2701,97.1537,1.466026157,2,2.5701,2.57E+06
800,550,69.4689,96.2502,1.385514957,1,2.03066,2.03E+06
800,600,72.2993,100.812,1.394370347,2,3.00279,3.00E+06
800,650,75.1548,105.305,1.401174642,2,3.19754,3.20E+06
800,700,77.9096,106.833,1.371243082,1,2.49166,2.49E+06
800,750,80.4778,111.238,1.382219693,1,2.82808,2.83E+06
800,800,83.101,116.065,1.396673927,2,3.87606,3.88E+06
800,850,85.6451,114.773,1.340100017,1,3.17078,3.17E+06
800,900,87.9124,119.03,1.353961443,1,3.11597,3.12E+06
800,950,90.3185,128.141,1.418768026,2,4.72481,4.72E+06
800,1000,92.6877,130.307,1.405871545,2,4.93454,4.93E+06
850,50,22.8092,36.5932,1.604317556,7,0.769634,769634
850,100,31.0914,44.4562,1.429855201,6,1.14846,1.15E+06
850,150,37.5084,51.9129,1.384033976,4,1.19859,1.20E+06
850,200,42.9937,59.7617,1.390010629,3,1.29469,1.29E+06
850,250,47.6992,68.4425,1.434877315,3,1.56169,1.56E+06
850,300,51.9449,73.4668,1.414321714,3,1.97572,1.98E+06
850,350,55.8745,77.4361,1.385893386,2,1.74162,1.74E+06
850,400,59.6822,86.6665,1.452133132,2,1.99543,2.00E+06
850,450,63.0348,85.434,1.35534657,2,2.16557,2.17E+06
850,500,66.2816,97.1537,1.465771798,2,2.60085,2.60E+06
850,550,69.4889,92.8354,1.335974523,1,2.05301,2.05E+06
850,600,72.3002,100.812,1.394352989,2,2.92014,2.92E+06
850,650,75.1555,105.305,1.401161592,2,3.09334,3.09E+06
850,700,77.9323,106.833,1.370843668,1,2.43337,2.43E+06
850,750,80.5202,111.238,1.381491849,1,2.75621,2.76E+06
850,800,83.14,115.661,1.39115949,2,3.85422,3.85E+06
850,850,85.663,114.773,1.339819992,1,3.11192,3.11E+06
850,900,87.9684,119.03,1.353099522,1,3.3988,3.40E+06
850,950,90.3283,128.141,1.4186141,2,4.62795,4.63E+06
850,1000,92.7574,129.879,1.400200954,2,4.94303,4.94E+06
900,50,22.8221,32.8667,1.440126018,4,0.443974,443974
900,100,31.1227,42.4014,1.362394651,5,1.0246,1.02E+06
900,150,37.6445,54.9727,1.460311599,6,1.979,1.98E+06
900,200,42.9949,59.949,1.394328165,3,1.25971,1.26E+06
900,250,47.702,67.1817,1.408362333,3,1.73585,1.74E+06
900,300,51.979,73.7207,1.418278536,3,1.8982,1.90E+06
900,350,55.8763,77.4361,1.385848741,2,1.80973,1.81E+06
900,400,59.6846,81.0619,1.35817112,1,1.47576,1.48E+06
900,450,63.0354,85.434,1.35533367,2,2.26542,2.27E+06
900,500,66.3441,94.3381,1.421951613,2,2.51897,2.52E+06
900,550,69.4959,92.8354,1.335839956,1,2.02131,2.02E+06
900,600,72.3325,100.812,1.393730343,2,2.99491,2.99E+06
900,650,75.2164,105.305,1.400027122,2,3.10777,3.11E+06
900,700,77.9697,106.833,1.370186111,1,2.53372,2.53E+06
900,750,80.5575,111.238,1.380852186,1,2.72165,2.72E+06
900,800,83.1548,115.661,1.39091189,2,3.86347,3.86E+06
900,850,85.7725,114.773,1.338109534,1,3.04028,3.04E+06
900,900,87.9907,119.03,1.352756598,1,3.43088,3.43E+06
900,950,90.3772,128.141,1.417846537,2,4.57898,4.58E+06
